run_id,task_id,category,model_name,example_selection,score_0shot,score_1shot,score_2shot,score_4shot,score_8shot,improvement_rate,threshold_shots,learning_curve_auc,num_trials,total_input_tokens,total_output_tokens,total_latency_ms,score_variance,pass_at_1,pass_all_1,pass_at_3,pass_all_3,collapse_pattern,resilience_score
20260325_000000,classification_001,classification,claude-haiku-4-5,tfidf,0.20000000000000004,0.6,0.6,0.6,0.8000000000000002,0.07500000000000001,8,0.625,3,0,0,61964,2.6192647243666407e-33,0.2,0.2,0.2,0.2,stable,1.0
20260325_000000,classification_001,classification,claude-sonnet-4-6,tfidf,0.20000000000000004,0.6,0.6,0.4666666666666666,0.7333333333333334,0.06666666666666667,-1,0.5583333333333333,3,0,0,101962,0.003555555555555556,0.13333333333333336,0.13333333333333333,0.2,0.0,stable,1.0
20260325_000000,classification_001,classification,gemini-2.5-flash,tfidf,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.016666666666666666,-1,0.22083333333333333,3,0,0,223043,0.030222222222222223,0.0,0.0,0.0,0.0,stable,1.0
20260325_000000,classification_001,classification,gemini-3-flash-preview,tfidf,0.0,0.6,0.6,0.4666666666666666,0.6666666666666666,0.08333333333333333,-1,0.5291666666666667,3,0,0,521014,0.008888888888888887,0.13333333333333336,0.13333333333333333,0.2,0.0,stable,0.9321428571428572
20260325_000000,classification_001,classification,gpt-4o-mini,tfidf,0.0,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3333333333333333,0.041666666666666664,-1,0.3583333333333333,3,0,0,41537,0.060444444444444446,0.0,0.0,0.0,0.0,stable,1.0
20260325_000000,classification_001,classification,gpt-5.4-mini,tfidf,0.0,0.4000000000000001,0.6,0.26666666666666666,0.6,0.075,-1,0.41250000000000003,3,0,0,44057,0.0017777777777777779,0.0,0.0,0.0,0.0,stable,1.0
20260325_000000,code_fix_001,code_fix,claude-haiku-4-5,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,41265,0.0,1.0,1.0,1.0,1.0,stable,1.0
20260325_000000,code_fix_001,code_fix,claude-sonnet-4-6,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,82502,0.0,1.0,1.0,1.0,1.0,stable,1.0
20260325_000000,code_fix_001,code_fix,gemini-2.5-flash,tfidf,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,-1,0.6666666666666666,3,0,0,106414,0.22222222222222224,0.6666666666666667,0.6666666666666666,1.0,0.0,stable,1.0
20260325_000000,code_fix_001,code_fix,gemini-3-flash-preview,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,222723,0.0,1.0,1.0,1.0,1.0,stable,0.9321428571428572
20260325_000000,code_fix_001,code_fix,gpt-4o-mini,tfidf,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,-1,0.6666666666666666,3,0,0,31285,0.22222222222222224,0.6666666666666667,0.6666666666666666,1.0,0.0,stable,1.0
20260325_000000,code_fix_001,code_fix,gpt-5.4-mini,tfidf,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,3,0,0,1542762,0.0,1.0,1.0,1.0,1.0,stable,1.0
20260325_000000,custom_route_001,custom,claude-haiku-4-5,tfidf,0.8787878787878788,0.9555555555555554,0.9555555555555556,0.9555555555555556,0.9343434343434343,0.006944444444444434,0,0.9454545454545454,3,0,0,206079,0.0007595143352719122,1.0,1.0,1.0,1.0,stable,1.0
